"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","WT_1411","WT_1601","WT_1710","KO_1411","KO_1601","KO_1710","LFCandPADJSig","gene_symbol"
"11","ENSMUSG00000000142.15",220.995813304098,-0.318927156590439,0.136286184196358,-2.34012830039276,0.0192771163315112,0.125234357459598,277.518626745295,222.336162005817,254.17082496163,169.228445111772,214.028688715949,188.692132284127,"Not significant","Axin2"
"12","ENSMUSG00000000148.17",478.936081154081,0.0891079261219561,0.0988539550835249,0.901409822668865,0.367370460690181,0.690598261503222,489.738753079932,449.10637852457,446.9529337249,466.692109500787,510.547601207838,510.57871088646,"Not significant","Brat1"
"13","ENSMUSG00000000149.10",87.3812640185995,-0.10307317737532,0.160058028194029,-0.643973804615227,0.519592420721196,0.794008535153613,84.2350655297483,96.2823265666214,95.8525568711231,91.4464268616407,78.7744479301758,77.6967603522874,"Not significant","Gna12"
"14","ENSMUSG00000000168.9",698.099636436611,-0.252376433116004,0.0878835582480942,-2.87171386943105,0.00408252428505471,0.0420984368648692,741.137979660963,801.296994123527,743.12656450646,653.789396642994,602.69884218276,646.548041502963,"Significant down","Dlat"
"15","ENSMUSG00000000171.5",832.312654164459,0.120494249475311,0.0976808993570269,1.23354975505396,0.21737072562091,0.537881502836231,829.943940219458,837.40286658601,702.200753707554,832.47781694735,823.415927421083,968.434620105297,"Not significant","Sdhd"
"16","ENSMUSG00000000184.12",1518.99700257693,-0.409871184721681,0.102589798494075,-3.99524310153854,6.46279028670443e-05,0.00150074870627136,1744.12294596866,1558.88687947668,1980.59384366287,1293.91438467448,1432.06001095706,1104.4039507218,"Significant down","Ccnd2"
"17","ENSMUSG00000000194.13",834.342968873694,-0.0681558907835672,0.0815236218835567,-0.836026285496943,0.403140115781397,0.717060214709551,890.018560597263,848.804721047847,821.747201041202,782.024615920237,822.672772251931,840.789942383682,"Not significant","Gpr107"
"18","ENSMUSG00000000244.17",270.182008153182,-0.312484253826141,0.171956311530472,-1.81723049910132,0.0691818268017511,0.282579546332228,470.802187960841,292.64759785381,262.786785129821,111.417485601539,228.148636929849,255.28935544323,"Not significant","Tspan32"
"19","ENSMUSG00000000253.13",78.6090855739258,-0.21291818188288,0.163676963966573,-1.30084391060897,0.193311888261782,0.506637160242543,94.6828255954535,81.71329030983,84.0056116398607,62.0153929291586,74.3155169152602,74.9218760539915,"Not significant","Gmpr"
"20","ENSMUSG00000000275.16",2017.77628281063,-0.0787115119603069,0.0688035625937262,-1.14400343518671,0.252622212372403,0.579653052987357,2152.89155853938,1980.12205820565,2099.06329597549,1893.04614687144,2058.53981855271,1922.99481871911,"Not significant","Trim25"
"21","ENSMUSG00000000276.11",2204.28515023554,-0.480957396839403,0.0585889083428713,-8.20901789165905,2.23005003242009e-16,3.9326447528243e-14,2584.51464625383,2565.41725391327,2591.2500205834,1832.08186229701,1845.99744017506,1806.44967819068,"Significant down","Dgke"
"22","ENSMUSG00000000278.10",143.04900804235,-0.230762047149531,0.139804959652144,-1.65059986229174,0.098820307028079,0.351797980081236,155.410430977365,159.625962465714,156.164278048459,130.337435986706,126.336378755942,130.419562019911,"Not significant","Scpep1"
"23","ENSMUSG00000000282.12",286.18683904947,-0.251720888016894,0.113062822901273,-2.22638071080799,0.025988691398571,0.152400191295331,307.555936934197,314.184434059501,324.17550132818,264.879305392338,259.361154034258,246.964702548342,"Not significant","Mnt"
"24","ENSMUSG00000000290.13",9111.85754315873,-0.209148910488566,0.0802673941269609,-2.60565217998419,0.00916995281209964,0.0750446040620871,10722.6667524341,9010.63220664599,9697.26316929879,7648.91549738114,9150.46959777599,8441.19803541637,"Not significant","Itgb2"
"25","ENSMUSG00000000295.13",246.002741695168,-0.250706449517614,0.118328042924494,-2.11874077624685,0.0341123802644515,0.182132269880582,267.723851683696,275.544816161055,267.094765213916,223.88607955781,217.00130939256,224.765628161974,"Not significant","Hddc2"
"26","ENSMUSG00000000303.12",276.866320461402,-0.493060788418804,0.117991738572761,-4.17877382249734,2.93084976347715e-05,0.000787253419911479,342.817127155952,312.91756134152,339.253431622514,215.477212719958,237.06649895968,213.66609096879,"Significant down","Cdh1"
"27","ENSMUSG00000000325.16",71.6101488058998,-0.114124286171942,0.169631339475557,-0.672778311630247,0.50108833767171,0.782199216522048,88.1529755543877,65.8773813350568,74.312656450646,54.6576344460381,77.2881375918706,69.3721074573995,"Not significant","Arvcf"
"28","ENSMUSG00000000326.13",25.3138063394802,0.0966801603335035,0.171313263795466,0.564347197593128,0.572517866501281,0.827461436581947,16.977610106771,27.8711997956009,24.7708854835487,35.7376840608711,21.5514999054255,24.9739586846638,"Not significant","Comt"
"29","ENSMUSG00000000339.14",321.656930280362,-0.306929762881169,0.108476332908563,-2.82946293123576,0.00466262010248481,0.0465039027926517,365.018617295576,352.190615598957,364.024317106063,280.645930713311,290.573671138667,277.488429829598,"Significant down","Rtca"
"30","ENSMUSG00000000340.10",590.250061735476,-0.116894890611458,0.0934430932506307,-1.25097411210399,0.210943922575676,0.529011881677829,647.761124073723,615.700140939184,578.34632628981,536.065260913066,567.027394063436,596.600124133636,"Not significant","Dbt"
"31","ENSMUSG00000000346.9",1321.39629744773,0.160945636423842,0.124037217247627,1.29755923258526,0.194438838666726,0.507813338202868,1409.14163886199,1303.61202680333,978.988474110684,1206.67239123176,1331.73406312146,1698.22919055714,"Not significant","Dazap2"
"32","ENSMUSG00000000355.13",691.475085445431,0.164142601502606,0.0943391420243083,1.73992044002596,0.0818729890308139,0.315293066162856,601.399188782156,663.207867863504,689.276813455267,791.484591112821,720.860514078024,682.621537380811,"Not significant","Mcts1"
"33","ENSMUSG00000000374.8",626.696500503464,0.0305452058873231,0.0872501309627059,0.350087794141871,0.726272810852629,0.897291619749791,631.436498971059,601.131104682393,630.042087298955,623.307254355781,655.462859192595,618.799198520004,"Not significant","Trappc10"
"34","ENSMUSG00000000378.15",2233.60364201037,-0.44139509119581,0.0788473772576742,-5.59809478193962,2.1672026412364e-08,1.35233444813152e-06,2743.19000225172,2397.55661878067,2641.86878657152,1770.06646936785,2025.84099110999,1823.09898398046,"Significant down","Ccm2"
"35","ENSMUSG00000000384.15",356.067112874467,-0.199088187307447,0.105368352444482,-1.88944956135995,0.0588316152476419,0.257462349082939,391.138017459839,371.193706368685,389.872197610636,322.690264902571,339.621912302739,321.886578602334,"Not significant","Tbrg4"
"36","ENSMUSG00000000386.16",14.1441758293037,-0.222972849322108,0.160853276974335,-1.38618779496599,0.165689567343037,0.469489234672769,18.2835801149841,16.4693453337642,19.3859103784294,10.511083547315,11.8904827064416,8.32465289488794,"Not significant","Mx1"
"37","ENSMUSG00000000399.10",1947.04283646943,-0.0776186977313609,0.0612165344467114,-1.26793681532115,0.204820515530738,0.520576841262123,2030.78336277145,1969.98707646179,2006.44172416744,1872.02397977681,1929.97397428931,1873.04690134979,"Not significant","Ndufa9"
"38","ENSMUSG00000000409.14",9629.37812987373,-0.121472828340545,0.0463555000385806,-2.6204620431113,0.00878107046856359,0.0730434846547748,10208.1145691981,10035.5322354933,9876.04434278875,9101.54724362008,9261.94287314888,9293.08751499324,"Not significant","Lck"
"39","ENSMUSG00000000420.15",1298.59333895213,-0.0797035185042654,0.0727150169368526,-1.0961080924107,0.273031473640168,0.602356333103806,1295.52224814745,1389.7593716261,1320.39589577525,1305.47657657653,1215.0587015645,1265.34724002297,"Not significant","Galnt1"
"40","ENSMUSG00000000439.9",305.476880455994,-0.145564099425941,0.117869882397239,-1.23495583829776,0.216846940259826,0.537083292838329,349.999962201125,312.91756134152,302.635600907703,262.777088682876,296.518912491888,308.012157110854,"Not significant","Mkrn2"
"41","ENSMUSG00000000441.17",1053.93808853918,-0.0473889838736777,0.0743177746384152,-0.637653429536117,0.523699307122569,0.796974702229857,1051.30585661159,1064.80651946375,1108.22787663355,1059.51722156935,1046.36247816686,993.408578789961,"Not significant","Raf1"
"42","ENSMUSG00000000486.13",9326.92160569504,0.0489014115024289,0.0666408530560922,0.733805305002146,0.463067406871121,0.759073717743204,9788.89819656168,8734.45395412594,8962.75256496052,8871.35451393388,9983.54654239606,9620.52386219216,"Not significant","Sept1"
"43","ENSMUSG00000000530.16",155.723424582516,-0.222207450729412,0.136569925158907,-1.62705991433224,0.10372437352099,0.363304023317042,174.346996096456,169.127507850578,166.934228258698,137.695194469827,141.942637308147,144.293983511391,"Not significant","Acvrl1"
"44","ENSMUSG00000000531.5",35.16873993202,-0.411230265141456,0.175745890476476,-2.33991397481069,0.0192881820893854,0.125239380823715,39.8320852505011,46.8742905653288,50.6187659881212,30.4821422872136,23.7809654128833,19.4241900880719,"Not significant","Grasp"
"45","ENSMUSG00000000532.11",475.425006655072,-0.0454029168301477,0.104082494465262,-0.436220490903983,0.662676762335359,0.868506182902246,518.470093260621,480.778196474116,444.798943682852,433.056642149379,470.417222073597,505.028942289868,"Not significant","Acvr1b"
"46","ENSMUSG00000000538.18",259.603587682581,-0.119507495351411,0.123137626502918,-0.970519724517982,0.331787497984815,0.661454405114791,295.149221856172,260.342343545272,258.478805045725,224.937187912541,257.874843695953,260.839124039822,"Not significant","Tom1l2"
"47","ENSMUSG00000000552.10",107.554368039751,-0.064458355127311,0.154247768543817,-0.417888412492659,0.676028704970697,0.875172126627836,120.14924075561,108.317617387449,101.237531976242,93.5486435711037,105.52803401967,116.545140528431,"Not significant","Zfp385a"
"48","ENSMUSG00000000555.8",285.632278782336,-0.252533445699658,0.118225911819744,-2.13602451283852,0.032677415849379,0.176798041820918,334.328322102567,312.91756134152,290.788655676441,239.652704878782,258.617998865106,277.488429829598,"Not significant","Itga5"
"49","ENSMUSG00000000561.14",22.507294250886,0.133888396664399,0.17253154903027,0.77602268928165,0.437735589218752,0.741937129072819,18.9365651190907,19.0030907697279,22.616895441501,26.2777088682876,26.0104309203411,22.1990743863678,"Not significant","Wdr77"
"50","ENSMUSG00000000563.17",1409.70510621779,0.0957483778638929,0.0691211431558582,1.38522561248726,0.16598349135405,0.469773752733793,1396.08193877986,1321.34824485508,1369.93766674234,1426.35403737065,1507.11868304148,1437.39006651732,"Not significant","Atp5f1"
"51","ENSMUSG00000000568.15",5476.01370056616,-0.143275552156581,0.0569099454166898,-2.51758372122007,0.0118162883357638,0.0893047183040833,5985.26054764087,5717.39657625214,5551.90933337797,5008.53131029561,5254.1070459089,5338.87738992147,"Not significant","Hnrnpd"
"52","ENSMUSG00000000581.8",657.243600640233,-0.0208872399634153,0.0839892012140928,-0.248689589393434,0.803600902359439,0.927812485046935,668.003659201027,654.339758837631,666.659918013766,648.533854869337,662.151255714969,643.773157204667,"Not significant","C1d"
"53","ENSMUSG00000000594.7",505.850562197417,-0.196048273063267,0.0967214781555034,-2.02693627932435,0.0426689296992268,0.210030556869009,572.01486359736,529.552796116418,525.573570259641,443.567725696694,481.564549610886,482.829867903501,"Not significant","Gm2a"
"54","ENSMUSG00000000600.15",831.325419806404,-0.119722324164788,0.080459539667291,-1.48798171925732,0.1367557147146,0.42266790364421,839.08573027695,883.010284433357,885.289907281609,825.120058464229,784.028703455995,771.417834926282,"Not significant","Krit1"
"55","ENSMUSG00000000605.9",989.756965555724,-0.0100362559094973,0.0731055056963983,-0.137284542578463,0.890805887985019,0.963613295894553,1003.63795131181,990.061029102824,986.527439257851,979.63298660976,993.598461157029,985.083925895073,"Not significant","Clcn4"
