"","WT_1411","WT_1601","WT_1710","KO_1411","KO_1601","KO_1710"
"ENSMUSG00000001103.7",0,0,0,0,0,0
"ENSMUSG00000001105.15",784,681,405,458,781,205
"ENSMUSG00000001119.7",347,328,194,156,243,65
"ENSMUSG00000001120.15",230,243,186,107,147,26
"ENSMUSG00000001123.15",9856,10141,5540,5234,7416,2109
"ENSMUSG00000001127.12",764,841,488,574,759,204
"ENSMUSG00000001128.7",523,494,287,323,503,135
"ENSMUSG00000001131.11",18,11,5,0,8,4
"ENSMUSG00000001134.9",37,55,35,40,40,9
"ENSMUSG00000001138.13",554,628,331,433,553,165
"ENSMUSG00000001143.13",1072,1219,739,696,895,229
"ENSMUSG00000001150.7",2911,2928,1887,1792,2596,625
"ENSMUSG00000001151.10",2666,2700,1806,1957,2814,652
"ENSMUSG00000001155.13",0,0,0,0,0,0
"ENSMUSG00000001156.9",497,451,309,304,486,110
"ENSMUSG00000001157.13",569,608,381,441,602,149
"ENSMUSG00000001158.13",1071,1003,545,485,765,220
"ENSMUSG00000001166.17",28,37,23,31,34,8
"ENSMUSG00000001168.16",0,0,0,0,0,0
"ENSMUSG00000001173.15",92,113,61,71,84,25
"ENSMUSG00000001175.15",12987,12480,7884,8348,12654,3120
"ENSMUSG00000001211.15",1070,1052,665,725,1074,264
"ENSMUSG00000001225.12",0,12,0,2,5,0
"ENSMUSG00000001227.12",8,7,5,4,7,1
"ENSMUSG00000001228.14",8647,9282,5878,5417,7377,1806
"ENSMUSG00000001229.9",1501,1465,793,772,1160,333
"ENSMUSG00000001240.13",7,8,7,7,9,0
"ENSMUSG00000001247.16",38,42,30,20,26,4
"ENSMUSG00000001248.15",2071,2156,1297,1541,2158,558
"ENSMUSG00000001249.14",6,3,1,0,3,0
"ENSMUSG00000001260.10",0,0,0,0,0,0
"ENSMUSG00000001270.9",256,243,123,81,128,42
"ENSMUSG00000001280.13",5379,5710,3017,3422,4688,1380
"ENSMUSG00000001281.10",2717,2193,1474,968,1763,413
"ENSMUSG00000001285.12",782,780,492,463,676,167
"ENSMUSG00000001288.15",64,48,38,16,35,6
"ENSMUSG00000001289.12",1279,1120,788,694,1149,255
"ENSMUSG00000001300.16",21,28,9,13,12,8
"ENSMUSG00000001305.5",468,438,287,229,356,85
"ENSMUSG00000001313.12",3,0,6,1,0,1
"ENSMUSG00000001323.17",85,94,55,77,101,27
"ENSMUSG00000001333.9",0,3,0,0,1,2
"ENSMUSG00000001334.9",0,1,0,0,0,0
"ENSMUSG00000001348.15",3241,3252,1973,1807,2624,673
"ENSMUSG00000001349.5",0,13,0,0,4,0
"ENSMUSG00000001366.14",428,445,239,297,416,121
"ENSMUSG00000001376.17",569,565,358,335,492,120
"ENSMUSG00000001380.7",2387,2059,1341,1015,1721,414
"ENSMUSG00000001383.9",2327,2063,1344,963,1585,381
"ENSMUSG00000001403.13",2448,2843,1502,1743,2179,645
"ENSMUSG00000001415.10",714,698,463,412,612,143
"ENSMUSG00000001416.13",12157,12564,7233,6832,9637,2604
"ENSMUSG00000001418.13",1311,1327,636,645,933,302
"ENSMUSG00000001419.17",2708,2517,1503,1332,2098,548
"ENSMUSG00000001420.13",9,9,7,4,6,0
"ENSMUSG00000001424.14",5575,5536,3258,3371,4953,1310
"ENSMUSG00000001435.15",91,111,45,44,50,23
"ENSMUSG00000001436.15",240,281,145,158,195,60
"ENSMUSG00000001440.5",11410,11940,7361,7291,10165,2563
"ENSMUSG00000001441.13",3114,3115,2125,2101,3056,693
"ENSMUSG00000001444.2",34,26,21,10,21,4
"ENSMUSG00000001445.10",659,670,413,382,547,138
"ENSMUSG00000001467.5",780,1044,476,571,607,214
"ENSMUSG00000001472.17",2838,2621,1673,1705,2691,658
"ENSMUSG00000001473.7",34,33,16,19,31,11
"ENSMUSG00000001482.15",186,149,112,92,167,35
"ENSMUSG00000001493.9",0,0,0,1,3,1
"ENSMUSG00000001494.6",1,1,0,0,1,0
"ENSMUSG00000001496.15",0,0,0,0,0,0
"ENSMUSG00000001497.18",9,7,7,1,6,0
"ENSMUSG00000001504.10",0,1,0,0,0,0
"ENSMUSG00000001506.10",460,528,189,319,393,168
"ENSMUSG00000001507.16",131,99,68,24,56,13
"ENSMUSG00000001508.15",0,2,0,0,2,0
"ENSMUSG00000001510.8",0,0,1,0,0,0
"ENSMUSG00000001517.14",707,715,439,391,563,143
"ENSMUSG00000001518.12",356,354,232,217,318,75
"ENSMUSG00000001520.12",0,0,0,0,0,0
"ENSMUSG00000001521.12",217,155,109,74,159,37
"ENSMUSG00000001524.14",3901,4373,2259,1477,1909,578
"ENSMUSG00000001525.10",52717,58162,35377,35929,47634,12168
