"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT753035","mmu","mmu","mmu-miR-181a","Stk32a","0","0","0","0","0","0","0","1","1","1"
"MIRT753036","mmu","mmu","mmu-miR-181b","Stk32a","0","0","0","0","0","0","0","1","1","1"
"MIRT753037","mmu","mmu","mmu-miR-181d","Stk32a","0","0","0","0","0","0","0","1","1","1"
"MIRT753038","mmu","mmu","mmu-miR-181c","Stk32a","0","0","0","0","0","0","0","1","1","1"
"MIRT742989","mmu","mmu","mmu-miR-181d","Dagla","0","0","0","0","0","0","0","1","1","1"
"MIRT742990","mmu","mmu","mmu-miR-181c","Dagla","0","0","0","0","0","0","0","1","1","1"
"MIRT742991","mmu","mmu","mmu-miR-181b","Dagla","0","0","0","0","0","0","0","1","1","1"
"MIRT742992","mmu","mmu","mmu-miR-181a","Dagla","0","0","0","0","0","0","0","1","1","1"
"MIRT746954","mmu","mmu","mmu-miR-181b","Gpd1l","0","0","0","0","0","0","0","1","1","1"
"MIRT746955","mmu","mmu","mmu-miR-181c","Gpd1l","0","0","0","0","0","0","0","1","1","1"
"MIRT746956","mmu","mmu","mmu-miR-181d","Gpd1l","0","0","0","0","0","0","0","1","1","1"
"MIRT746957","mmu","mmu","mmu-miR-181a","Gpd1l","0","0","0","0","0","0","0","1","1","1"
"MIRT742658","mmu","mmu","mmu-miR-181a","Arhgef15","0","0","0","0","0","0","0","1","1","4"
"MIRT742659","mmu","mmu","mmu-miR-181d","Arhgef15","0","0","0","0","0","0","0","1","1","4"
"MIRT742660","mmu","mmu","mmu-miR-181c","Arhgef15","0","0","0","0","0","0","0","1","1","4"
"MIRT742661","mmu","mmu","mmu-miR-181b","Arhgef15","0","0","0","0","0","0","0","1","1","4"
"MIRT006311","mmu","mmu","mmu-miR-181a-5p","Cbx7","1","0","0","0","1","0","0","0","2","1"
"MIRT004824","mmu","mmu","mmu-miR-181a-5p","Hoxa","1","1","0","0","0","0","1","0","3","1"
"MIRT584604","mmu","mmu","mmu-miR-181a-5p","","0","0","0","0","1","0","0","0","1","3"
"MIRT584880","mmu","mmu","mmu-miR-181a-5p","Ap1g1","0","0","0","0","1","0","0","0","1","1"
"MIRT591488","mmu","mmu","mmu-miR-181a-5p","Aqp3","0","0","0","0","1","0","0","0","1","2"
"MIRT590594","mmu","mmu","mmu-miR-181a-5p","Atp2a2","0","0","0","0","1","0","0","0","1","1"
"MIRT594982","mmu","mmu","mmu-miR-181a-5p","Ebf3","0","0","0","0","1","0","0","0","1","1"
"MIRT598729","mmu","mmu","mmu-miR-181a-5p","H2-D1","0","0","0","0","1","0","0","0","1","1"
"MIRT578326","mmu","mmu","mmu-miR-181a-5p","Magea5","0","0","0","0","1","0","0","0","1","1"
"MIRT589133","mmu","mmu","mmu-miR-181a-5p","Rad51d","0","0","0","0","1","0","0","0","1","1"
"MIRT577182","mmu","mmu","mmu-miR-181a-5p","Smarca4","0","0","0","0","1","0","0","0","1","5"
"MIRT577426","mmu","mmu","mmu-miR-181a-5p","Tulp3","0","0","0","0","1","0","0","0","1","1"
"MIRT589795","mmu","mmu","mmu-miR-181a-5p","Ikzf2","0","0","0","0","1","0","0","0","1","2"
"MIRT591185","mmu","mmu","mmu-miR-181a-5p","Ms4a4c","0","0","0","0","1","0","0","0","1","3"
"MIRT594857","mmu","mmu","mmu-miR-181a-5p","Nacc1","0","0","0","0","1","0","0","0","1","1"
"MIRT582655","mmu","mmu","mmu-miR-181a-5p","Lnp","0","0","0","0","1","0","0","0","1","2"
"MIRT596591","mmu","mmu","mmu-miR-181a-5p","Zfp689","0","0","0","0","1","0","0","0","1","1"
"MIRT582050","mmu","mmu","mmu-miR-181a-5p","Osbpl3","0","0","0","0","1","0","0","0","1","1"
"MIRT600004","mmu","mmu","mmu-miR-181a-5p","4930563E22Rik","0","0","0","0","1","0","0","0","1","1"
"MIRT583690","mmu","mmu","mmu-miR-181a-5p","Fam122b","0","0","0","0","1","0","0","0","1","1"
"MIRT581072","mmu","mmu","mmu-miR-181a-5p","Sgpp1","0","0","0","0","1","0","0","0","1","1"
"MIRT605136","mmu","mmu","mmu-miR-181a-5p","Clmn","0","0","0","0","1","0","0","0","1","1"
"MIRT592857","mmu","mmu","mmu-miR-181a-5p","Adamts9","0","0","0","0","1","0","0","0","1","2"
"MIRT598536","mmu","mmu","mmu-miR-181a-5p","Itpk1","0","0","0","0","1","0","0","0","1","1"
"MIRT583658","mmu","mmu","mmu-miR-181a-5p","Fam160b2","0","0","0","0","1","0","0","0","1","5"
"MIRT587222","mmu","mmu","mmu-miR-181a-5p","Fam69c","0","0","0","0","1","0","0","0","1","1"
"MIRT584582","mmu","mmu","mmu-miR-181a-5p","Bnc2","0","0","0","0","1","0","0","0","1","1"
"MIRT586226","mmu","mmu","mmu-miR-181a-5p","Ptchd2","0","0","0","0","1","0","0","0","1","2"
"MIRT606008","mmu","mmu","mmu-miR-181a-5p","Dagla","0","0","0","0","1","0","0","0","1","1"
"MIRT603963","mmu","mmu","mmu-miR-181a-5p","Gpd1l","0","0","0","0","1","0","0","0","1","1"
"MIRT579349","mmu","mmu","mmu-miR-181a-5p","Arhgef15","0","0","0","0","1","0","0","0","1","4"
"MIRT580761","mmu","mmu","mmu-miR-181a-5p","Spp1","1","0","1","0","1","0","0","0","3","1"
"MIRT732933","mmu","mmu","mmu-miR-181a-5p","Carm1","1","1","1","0","0","0","0","0","3","0"
"MIRT053146","mmu","mmu","mmu-miR-181a-5p","Xiap","1","0","0","0","0","0","0","0","1","1"
"MIRT053147","mmu","mmu","mmu-miR-181a-5p","Mecp2","1","0","0","0","0","0","0","0","1","1"
"MIRT007371","mmu","mmu","mmu-miR-181a-5p","Acvr2a","1","1","1","0","1","0","0","0","4","2"
"MIRT001684","mmu","mmu","mmu-miR-181a-5p","Bcl2","1","0","0","1","1","0","1","0","4","2"
"MIRT003910","mmu","mmu","mmu-miR-181a-5p","Runx1","1","0","0","1","0","0","1","0","3","1"
"MIRT001686","mmu","mmu","mmu-miR-181a-5p","Cd69","1","0","0","1","0","0","1","0","3","1"
"MIRT003908","mmu","mmu","mmu-miR-181a-5p","Egr1","1","0","0","1","0","0","1","0","3","1"
"MIRT007334","mmu","mmu","mmu-miR-181a-5p","Gata6","1","0","0","0","0","0","0","0","1","1"
"MIRT054235","mmu","mmu","mmu-miR-181a-5p","Il1a","1","1","1","0","0","0","0","0","3","1"
"MIRT006836","mmu","mmu","mmu-miR-181a-5p","Msx2","1","1","1","0","0","0","0","0","3","1"
"MIRT007333","mmu","mmu","mmu-miR-181a-5p","Rgs4","1","0","0","0","0","0","0","0","1","1"
"MIRT007332","mmu","mmu","mmu-miR-181a-5p","Tbr1","1","1","0","0","0","0","0","0","2","1"
"MIRT003907","mmu","mmu","mmu-miR-181a-5p","Tcra","1","0","0","1","0","0","0","0","2","1"
"MIRT007331","mmu","mmu","mmu-miR-181a-5p","Tgfbi","1","1","0","0","0","0","0","0","2","1"
"MIRT003909","mmu","mmu","mmu-miR-181a-5p","Tox","1","0","0","1","0","0","1","0","3","1"
"MIRT053012","mmu","hsa","mmu-miR-181a-5p","BCL2L11","0","0","1","0","0","0","0","0","1","1"
"MIRT014056","mmu","mmu","mmu-miR-181a-5p","Hoxa11","1","0","0","0","0","0","0","0","1","1"
"MIRT014301","mmu","mmu","mmu-miR-181a-5p","Macf1","0","0","0","0","1","0","0","0","1","1"
"MIRT014059","mmu","mmu","mmu-miR-181a-5p","Acvr1b","0","0","0","0","1","0","0","0","1","1"
"MIRT014412","mmu","mmu","mmu-miR-181a-5p","Adam11","0","0","0","0","1","0","0","0","1","1"
"MIRT014313","mmu","mmu","mmu-miR-181a-5p","Adam22","0","0","0","0","1","0","0","0","1","1"
"MIRT014322","mmu","mmu","mmu-miR-181a-5p","Adam9","0","0","0","0","1","0","0","0","1","1"
