"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","WT_1411","WT_1601","WT_1710","KO_1411","KO_1601","KO_1710","LFCandPADJSig","gene_symbol"
"13","ENSMUSG00000020393.16",2052.12784150931,-1.33357717856233,0.105516511367747,-12.6385639676291,1.2939561267778e-36,1.26877374984897e-33,3263.11762946339,2662.36352499889,3084.2555006828,1005.86242205904,1235.91734711095,1061.2506247408,"Significant down","Kremen1"
"14","ENSMUSG00000013275.9",451.44222112071,-1.35678778240398,0.117571612214756,-11.5400967703469,8.28319836000783e-31,7.54185210678713e-28,724.113045835095,623.794829962604,656.281259719144,215.339560778837,251.760941078157,237.363689350423,"Significant down","Slc41a1"
"15","ENSMUSG00000102142.1",4289.54731797415,1.07640710975544,0.104048411320906,10.3452527154459,4.39754531697966e-25,3.73703401036932e-22,2881.08910598886,2740.56258869738,2308.08524223282,5457.15781657947,5718.78792218748,6631.60123215891,"Significant up","Gm26930"
"16","ENSMUSG00000097993.7",115.920711520866,-1.79348349798881,0.173828156373124,-10.3175661262786,5.8692087394408e-25,4.67592523760324e-22,177.187492120893,186.05984121363,229.121197574478,40.6122855854824,36.619773247732,25.9236793829813,"Significant down","Ptprv"
"17","ENSMUSG00000040111.17",630.536728284961,1.0060725000376,0.09761510598938,10.306524690421,6.58392515383196e-25,4.93678199622917e-22,407.633652393731,407.174435119682,400.518062426704,848.13563850612,852.935551895091,866.823029368438,"Significant up",NA
"18","ENSMUSG00000079071.2",177.996583401198,1.48602293944053,0.14468124666525,10.2710128208859,9.51998908737035e-25,6.7417389387061e-22,83.9848228549898,77.3002238858558,78.1498658393568,260.674205153329,288.380714325889,279.489668347767,"Significant up","Gm14085"
"19","ENSMUSG00000031441.15",509.697165887455,-1.09142705342587,0.107082480472589,-10.1923960727195,2.14413322799678e-24,1.43848769775131e-21,688.265865348209,697.499694597955,739.759525502093,321.120397652651,315.845544261688,295.691967962131,"Significant down","Atp11a"
"20","ENSMUSG00000098243.3",5454.02312764822,1.10786226299039,0.109343747487594,10.1319214719259,3.98735783327388e-24,2.54134251503711e-21,3674.84810248419,3356.26786034634,2829.38037004762,6818.14161957203,7470.43374253732,8575.06707090179,"Significant up","Gm4258"
"21","ENSMUSG00000031592.10",1877.65294230983,0.856895133395886,0.0888042550768934,9.64925760205883,4.95128704445499e-22,3.00543123598418e-19,1300.74054909557,1384.21331144439,1235.3007202562,2464.1268161052,2294.83912352454,2586.6971334331,"Significant up","Pcm1"
"22","ENSMUSG00000038679.16",845.657027323444,1.08673339488176,0.115768474805028,9.38712716663143,6.16590515135984e-21,3.57258149838108e-18,556.143400125116,536.607368137859,443.145261975444,1088.97593674561,1124.53220348244,1324.5379934742,"Significant up","Trps1"
"23","ENSMUSG00000015970.19",939.297721265189,0.889295013217206,0.0964685976597486,9.21849218078002,3.01307212228318e-20,1.66989697142364e-17,599.160016709379,651.658864154017,668.71419292086,1316.59363037587,1216.08163660177,1183.57798682924,"Significant up","Chdh"
"24","ENSMUSG00000021587.5",61.6840498880523,1.62601987736081,0.188269568469818,8.63665801423176,5.78813219821614e-18,3.07422171377755e-15,19.4598979785952,11.684917564141,16.8732664880429,92.5582322645877,126.64338248174,102.884602551207,"Significant up","Pcsk1"
"25","ENSMUSG00000020415.16",158.853507020873,1.32799013816522,0.154736696238247,8.58225728252928,9.3029277960651e-18,4.74337682465767e-15,75.7911816008445,86.2886220121181,67.4930659521718,241.78476999729,213.615343945103,268.148058617713,"Significant up","Pttg1"
"26","ENSMUSG00000117294.1",680.900714156054,0.910993242747769,0.111862699660094,8.14385175322885,3.82897982914911e-16,1.87723099546783e-13,435.287191626472,424.252391559581,498.205394725899,941.638342528509,973.475638835542,812.545325660321,"Significant up","Gm49839"
