"","WT_1411","WT_1601","WT_1710","KO_1411","KO_1601","KO_1710"
"ENSMUSG00000001440.5",2785,3207,3324,3117,1911,3507
"ENSMUSG00000001441.13",916,1019,1028,1147,727,1372
"ENSMUSG00000001444.2",6,12,9,6,0,4
"ENSMUSG00000001445.10",172,193,179,135,84,174
"ENSMUSG00000001467.5",127,156,123,128,72,174
"ENSMUSG00000001472.17",1493,1606,1700,1540,1012,1814
"ENSMUSG00000001473.7",4,3,6,4,4,3
"ENSMUSG00000001482.15",94,110,126,99,60,98
"ENSMUSG00000001493.9",1,1,1,0,1,0
"ENSMUSG00000001494.6",0,4,0,0,0,0
"ENSMUSG00000001496.15",0,0,0,0,0,0
"ENSMUSG00000001497.18",4,5,1,2,1,4
"ENSMUSG00000001504.10",0,0,0,0,0,0
"ENSMUSG00000001506.10",67,76,77,53,34,63
"ENSMUSG00000001507.16",24,26,25,12,8,16
"ENSMUSG00000001508.15",0,0,0,1,0,0
"ENSMUSG00000001510.8",0,0,0,0,0,0
"ENSMUSG00000001517.14",523,772,839,815,390,673
"ENSMUSG00000001518.12",168,212,235,200,112,191
"ENSMUSG00000001520.12",0,0,0,0,0,0
"ENSMUSG00000001521.12",124,128,132,76,53,97
"ENSMUSG00000001524.14",646,707,863,429,278,420
"ENSMUSG00000001525.10",5135,5867,6741,5496,3412,5552
"ENSMUSG00000001542.7",14,27,28,51,22,42
"ENSMUSG00000001552.14",475,487,585,407,281,440
"ENSMUSG00000001555.10",7,8,5,6,4,9
"ENSMUSG00000001558.5",5,7,3,4,1,7
"ENSMUSG00000001566.9",0,0,0,0,0,0
"ENSMUSG00000001569.10",307,323,381,348,235,374
"ENSMUSG00000001576.15",223,298,292,312,163,325
"ENSMUSG00000001583.13",1,0,2,0,2,0
"ENSMUSG00000001588.12",1253,1508,1772,1967,1165,1828
"ENSMUSG00000001604.14",1,1,1,0,0,0
"ENSMUSG00000001622.15",2,0,0,0,1,0
"ENSMUSG00000001627.12",333,362,353,344,223,434
"ENSMUSG00000001630.13",93,122,115,111,58,122
"ENSMUSG00000001632.16",795,905,931,798,495,916
"ENSMUSG00000001642.18",158,176,191,188,120,210
"ENSMUSG00000001655.6",0,0,0,0,0,0
"ENSMUSG00000001656.3",1,0,0,0,0,0
"ENSMUSG00000001657.7",0,0,0,0,0,0
"ENSMUSG00000001661.5",0,0,0,0,0,0
"ENSMUSG00000001663.10",1,2,1,1,0,0
"ENSMUSG00000001665.11",2,4,1,3,0,5
"ENSMUSG00000001666.8",12,19,18,17,6,15
"ENSMUSG00000001670.13",0,0,0,0,0,0
"ENSMUSG00000001672.14",1,1,0,0,1,1
"ENSMUSG00000001674.11",90,95,82,83,55,120
"ENSMUSG00000001687.15",665,709,656,620,410,836
"ENSMUSG00000001700.10",524,660,605,718,398,840
"ENSMUSG00000001707.8",87,111,92,84,44,106
"ENSMUSG00000001729.14",637,680,858,653,435,633
"ENSMUSG00000001739.14",7,5,6,1,4,5
"ENSMUSG00000001741.12",2444,2673,2771,2654,1715,3142
"ENSMUSG00000001750.16",217,259,308,338,205,317
"ENSMUSG00000001751.9",25,38,39,31,14,26
"ENSMUSG00000001755.12",101,109,127,102,68,108
"ENSMUSG00000001761.7",497,664,720,766,407,707
"ENSMUSG00000001763.14",10,10,10,7,5,9
"ENSMUSG00000001767.5",310,352,301,309,190,420
"ENSMUSG00000001768.16",23,25,24,12,7,16
"ENSMUSG00000001773.14",0,0,0,0,0,0
"ENSMUSG00000001774.8",977,1083,827,827,520,1247
"ENSMUSG00000001783.3",462,557,589,506,296,532
"ENSMUSG00000001785.13",176,202,231,203,126,207
"ENSMUSG00000001786.14",314,415,343,376,194,461
"ENSMUSG00000001794.13",339,333,413,342,247,373
"ENSMUSG00000001802.16",0,0,1,0,0,2
"ENSMUSG00000001804.9",0,1,1,0,0,0
"ENSMUSG00000001815.15",0,0,1,0,0,0
"ENSMUSG00000001819.4",0,0,0,0,0,0
"ENSMUSG00000001823.5",0,0,0,0,0,0
"ENSMUSG00000001827.12",0,1,0,0,0,0
"ENSMUSG00000001829.17",129,200,184,178,78,172
"ENSMUSG00000001833.17",1308,1338,1017,1131,779,1824
"ENSMUSG00000001844.10",143,166,156,126,76,155
"ENSMUSG00000001847.14",1163,1403,1290,1175,680,1422
"ENSMUSG00000001855.15",846,1102,1110,1001,539,1028
"ENSMUSG00000001864.13",1,1,1,3,1,4
"ENSMUSG00000001865.2",12,15,16,17,10,18
"ENSMUSG00000001870.16",19,10,20,10,14,13
"ENSMUSG00000001891.16",146,169,160,226,137,277
"ENSMUSG00000001901.15",6,3,9,3,5,0
"ENSMUSG00000001909.16",244,260,355,241,161,209
"ENSMUSG00000001910.5",379,482,549,458,256,417
"ENSMUSG00000001911.16",58,60,96,69,48,50
"ENSMUSG00000001918.17",798,1102,1077,1143,578,1149
"ENSMUSG00000001924.15",1344,1520,1761,1546,969,1564
"ENSMUSG00000001930.17",8,6,9,8,7,8
"ENSMUSG00000001942.8",170,189,153,127,79,184
"ENSMUSG00000001943.8",1,4,1,4,0,3
"ENSMUSG00000001946.14",4,7,7,9,5,8
"ENSMUSG00000001948.10",4,1,0,0,1,4
"ENSMUSG00000001962.8",167,144,194,164,134,189
"ENSMUSG00000001964.14",170,180,222,205,138,208
"ENSMUSG00000001983.7",66,63,82,66,50,71
"ENSMUSG00000001985.9",0,0,0,0,0,0
"ENSMUSG00000001986.16",72,83,63,79,47,115
"ENSMUSG00000001988.9",0,0,0,0,0,0
"ENSMUSG00000001995.9",176,208,206,167,100,194
"ENSMUSG00000001998.15",408,532,436,474,249,592
"ENSMUSG00000001999.15",77,81,97,79,54,85
"ENSMUSG00000002006.12",114,142,156,164,94,162
"ENSMUSG00000002007.5",1,0,3,0,0,0
"ENSMUSG00000002010.17",213,210,259,246,177,269
"ENSMUSG00000002012.13",10,14,14,13,6,12
"ENSMUSG00000002014.12",139,177,168,160,87,178
"ENSMUSG00000002015.5",367,354,366,406,298,544
"ENSMUSG00000002017.10",245,279,322,279,174,283
"ENSMUSG00000002020.15",12,15,14,7,4,9
"ENSMUSG00000002028.13",5225,5610,6077,6385,4208,7358
"ENSMUSG00000002031.13",143,170,174,183,110,204
"ENSMUSG00000002032.17",0,2,3,1,1,0
"ENSMUSG00000002033.14",2077,2049,2046,2083,1495,2821
"ENSMUSG00000002043.17",47,56,65,54,33,52
"ENSMUSG00000002052.6",1415,1541,1821,1553,1012,1599
"ENSMUSG00000002055.9",321,437,472,495,259,452
"ENSMUSG00000002057.4",4,5,1,3,1,6
"ENSMUSG00000002058.13",29,34,42,34,21,32
"ENSMUSG00000002059.18",2,1,1,1,1,3
"ENSMUSG00000002064.10",186,249,256,232,122,228
"ENSMUSG00000002068.16",94,113,125,113,66,114
"ENSMUSG00000002076.12",1,3,5,4,2,2
"ENSMUSG00000002083.13",58,54,86,90,70,79
"ENSMUSG00000002100.15",0,2,0,1,0,0
"ENSMUSG00000002102.15",562,649,825,662,409,579
"ENSMUSG00000002103.16",175,204,184,179,107,228
"ENSMUSG00000002104.11",2,0,0,0,1,0
"ENSMUSG00000002105.15",59,81,78,84,43,87
"ENSMUSG00000002107.18",5125,5849,4538,5910,3605,8588
"ENSMUSG00000002108.10",14,16,23,18,13,15
"ENSMUSG00000002109.14",297,320,325,297,195,365
"ENSMUSG00000002111.8",9,14,17,17,8,12
"ENSMUSG00000002129.11",703,775,841,611,393,685
"ENSMUSG00000002147.18",851,909,1034,950,631,1045
"ENSMUSG00000002190.13",0,0,0,0,0,0
"ENSMUSG00000002204.9",11,11,13,10,8,11
"ENSMUSG00000002205.16",389,376,401,336,246,436
"ENSMUSG00000002210.11",291,332,406,296,185,278
"ENSMUSG00000002221.11",701,868,937,833,475,834
"ENSMUSG00000002222.14",9720,11711,9491,7135,4101,9597
"ENSMUSG00000002227.15",207,190,267,237,182,240
"ENSMUSG00000002228.7",2,4,5,2,0,0
"ENSMUSG00000002233.13",1,3,5,3,1,0
"ENSMUSG00000002240.12",0,0,0,0,0,0
"ENSMUSG00000002249.21",27,27,33,14,11,15
"ENSMUSG00000002250.16",234,222,296,215,160,223
"ENSMUSG00000002257.8",1278,1283,1652,1223,862,1240
"ENSMUSG00000002265.17",1,4,3,1,2,3
"ENSMUSG00000002266.17",0,0,1,1,0,0
"ENSMUSG00000002274.13",207,251,321,277,164,229
"ENSMUSG00000002279.19",236,262,292,213,136,229
"ENSMUSG00000002280.11",120,138,154,102,63,106
"ENSMUSG00000002289.16",24,27,32,17,11,17
"ENSMUSG00000002297.16",478,608,504,543,293,686
"ENSMUSG00000002307.16",408,460,603,477,302,413
"ENSMUSG00000002308.16",30,27,33,18,15,22
"ENSMUSG00000002319.16",43,53,55,53,31,56
"ENSMUSG00000002320.15",223,268,311,260,154,247
"ENSMUSG00000002324.8",7,6,7,11,10,15
"ENSMUSG00000002325.15",301,363,367,305,178,337
"ENSMUSG00000002326.6",161,209,215,193,104,196
"ENSMUSG00000002329.7",353,425,455,381,224,398
"ENSMUSG00000002332.16",81,90,109,126,81,125
"ENSMUSG00000002341.8",1,2,0,0,0,1
"ENSMUSG00000002342.17",159,220,214,174,86,175
"ENSMUSG00000002343.11",49,74,81,91,43,76
"ENSMUSG00000002345.18",198,220,262,178,114,178
"ENSMUSG00000002346.16",103,124,126,123,72,136
"ENSMUSG00000002365.10",22,23,28,13,10,14
"ENSMUSG00000002372.9",690,776,903,717,453,726
"ENSMUSG00000002379.7",58,75,74,62,33,65
"ENSMUSG00000002384.2",0,0,0,0,0,0
"ENSMUSG00000002393.14",7,13,13,11,4,9
"ENSMUSG00000002395.14",290,255,356,233,187,250
"ENSMUSG00000002396.8",287,176,343,85,96,92
"ENSMUSG00000002409.18",350,397,445,412,258,434
"ENSMUSG00000002413.15",812,890,723,848,542,1234
"ENSMUSG00000002416.13",146,151,161,150,104,183
"ENSMUSG00000002428.12",500,549,459,590,376,839
"ENSMUSG00000002455.14",524,594,631,587,367,655
"ENSMUSG00000002458.13",241,248,253,184,127,236
"ENSMUSG00000002459.17",0,2,1,0,1,1
"ENSMUSG00000002475.16",0,2,0,1,0,0
"ENSMUSG00000002477.5",167,229,248,244,126,220
"ENSMUSG00000002486.15",138,149,180,161,106,164
"ENSMUSG00000002489.16",465,594,613,699,387,715
"ENSMUSG00000002496.10",366,410,421,419,264,489
"ENSMUSG00000002500.15",0,1,3,0,0,1
"ENSMUSG00000002504.15",2,3,3,3,1,1
"ENSMUSG00000002524.17",666,710,858,656,436,673
"ENSMUSG00000002546.16",372,424,508,405,253,391
"ENSMUSG00000002550.16",55,74,92,83,45,65
"ENSMUSG00000002565.16",15,15,18,21,16,25
"ENSMUSG00000002578.18",58,78,74,60,30,64
"ENSMUSG00000002580.7",134,118,162,121,98,134
"ENSMUSG00000002588.13",0,0,0,0,0,0
"ENSMUSG00000002602.16",116,158,161,143,74,140
"ENSMUSG00000002603.15",729,665,916,687,529,715
"ENSMUSG00000002608.8",563,630,735,596,379,607
"ENSMUSG00000002617.14",124,136,79,89,55,161
"ENSMUSG00000002625.10",320,357,439,467,299,449
"ENSMUSG00000002633.4",0,0,0,0,1,0
"ENSMUSG00000002635.11",79,112,120,91,45,81
"ENSMUSG00000002658.9",223,279,313,262,149,249
"ENSMUSG00000002660.8",71,93,96,94,51,96
"ENSMUSG00000002661.14",20,24,26,19,11,20
"ENSMUSG00000002664.2",0,0,0,1,0,0
"ENSMUSG00000002668.8",797,900,968,1038,651,1147
"ENSMUSG00000002679.14",100,108,82,93,61,146
"ENSMUSG00000002688.8",0,0,0,3,0,0
"ENSMUSG00000002699.13",1900,2082,1979,2228,1433,2857
"ENSMUSG00000002718.14",525,596,485,535,328,754
"ENSMUSG00000002728.14",110,101,84,86,67,144
"ENSMUSG00000002731.6",50,49,48,60,43,83
"ENSMUSG00000002732.14",10,12,7,12,6,20
"ENSMUSG00000002733.8",134,140,127,149,101,208
"ENSMUSG00000002741.9",498,596,670,612,363,605
"ENSMUSG00000002748.7",3600,4141,4391,4065,2498,4470
"ENSMUSG00000002763.16",240,325,412,370,199,271
"ENSMUSG00000002767.13",72,73,88,56,40,61
"ENSMUSG00000002768.8",60,60,70,53,38,61
"ENSMUSG00000002769.9",5,4,7,3,3,1
"ENSMUSG00000002771.12",5,8,6,4,1,4
"ENSMUSG00000002778.14",213,277,284,300,162,304
"ENSMUSG00000002781.19",43,55,55,43,24,46
"ENSMUSG00000002791.17",1,3,3,1,0,0
"ENSMUSG00000002797.9",48,48,46,36,26,51
"ENSMUSG00000002799.6",53,43,66,60,52,63
"ENSMUSG00000002803.14",56,58,59,74,52,95
"ENSMUSG00000002804.4",43,48,45,56,36,73
"ENSMUSG00000002808.7",0,2,1,1,0,3
"ENSMUSG00000002812.4",706,786,933,774,493,774
"ENSMUSG00000002814.15",209,221,271,260,175,265
"ENSMUSG00000002820.6",285,313,387,334,216,323
"ENSMUSG00000002825.8",61,55,66,42,34,52
"ENSMUSG00000002831.14",0,4,1,4,1,1
"ENSMUSG00000002833.11",336,404,540,522,314,407
"ENSMUSG00000002835.9",332,461,578,556,291,401
"ENSMUSG00000002844.9",173,191,237,222,144,213
"ENSMUSG00000002845.14",144,134,143,116,89,157
"ENSMUSG00000002846.9",145,168,184,155,95,165
"ENSMUSG00000002847.7",2,3,1,1,0,3
"ENSMUSG00000002870.8",764,925,1064,928,544,880
"ENSMUSG00000002871.14",297,319,400,318,211,310
"ENSMUSG00000002881.14",399,422,400,432,289,575
"ENSMUSG00000002885.14",768,907,1031,1032,621,1022
"ENSMUSG00000002897.5",2717,3101,3551,3074,1911,3123
"ENSMUSG00000002900.16",31,25,35,16,15,19
"ENSMUSG00000002908.17",1,0,0,1,5,0
"ENSMUSG00000002910.11",5,2,4,2,3,3
"ENSMUSG00000002930.6",0,0,0,0,0,0
