"","log2FoldChange","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","padj","gene_symbol"
"Mcrip1",-0.0722004214067242,7.80702208299797,-0.491945338900574,0.635625988199831,0.884574111757243,-6.49689299392783,"Mcrip1",5,-0.483921970390162,0.640951654462949,0.878676461966419,"Mcrip1"
"Qrsl1",-0.0446751512748849,4.71479225067204,-0.629960491564711,0.545829147988542,0.850206973468062,-6.41478792555724,"Qrsl1",4,-0.483874760015845,0.640983772095482,0.878676461966419,"Qrsl1"
"Stt3a",0.0250461081425861,10.6294306706658,0.404528636629537,0.696146129040943,0.909360615448088,-6.5390322068017,"Stt3a",19,0.483772465072145,0.641053366987722,0.878676461966419,"Stt3a"
"Casp6",-0.0552857198105094,8.28929693068701,-0.469199487308368,0.651120705825039,0.890313357819797,-6.50860854061542,"Casp6",10,-0.482853222868826,0.641678928527706,0.878676461966419,"Casp6"
"Marcks",-0.111221030588338,10.8538237128635,-0.47444386689897,0.647531836206384,0.88943928506421,-6.50595383884948,"Marcks",15,-0.482842222523756,0.641686416302159,0.878676461966419,"Marcks"
"Wdr46",-0.029576379660984,9.29823127872256,-0.444064592809927,0.668453921899665,0.89880347820617,-6.52094294941783,"Wdr46",13,-0.482795404850064,0.641718284894622,0.878676461966419,"Wdr46"
"Msh3",-0.033532529719265,6.98652850090131,-0.480298721848959,0.643536707064432,0.88735820409002,-6.50295715839756,"Msh3",9,-0.482425072921319,0.641970395934197,0.878676461966419,"Msh3"
"Mrpl23",0.060913159011017,5.60467512585886,0.494693954462447,0.633766199811496,0.883603047461443,-6.49544187962771,"Mrpl23",3,0.482416487546427,0.641976241186254,0.878676461966419,"Mrpl23"
"Helz2",0.0451413255029802,6.62669960623109,0.472420930661732,0.648915036451436,0.890313357819797,-6.5069811559198,"Helz2",10,0.481782945913425,0.642407653389881,0.878676461966419,"Helz2"
"Fam32a",-0.0820337953438921,7.45678038930187,-0.482462887336739,0.642063055766508,0.88686414282248,-6.50184068970091,"Fam32a",5,-0.481656802586314,0.642493568233569,0.878676461966419,"Fam32a"
