"","ID_REF","T.DP.Th_1","T.DP.Th_2","mean","stdiv"
"841","miR-544-5p",0.180697379,0.103853397,0.142275388,0.054336900765577
"419","miR-30c-1-3p",0.178290214,0.1029708,0.140630507,0.053258868394397
"893","miR-194-1-3p",0.10126004,0.179597277,0.1404286585,0.0553927915021177
"544","miR-3094-3p",0.176424762,0.1029708,0.139697781,0.051939794635219
"510","miR-344d-1-5p",0.100702167,0.177923981,0.139313074,0.0546040683349263
"148","miR-291a-5p",0.169157267,0.107932194,0.1385447305,0.0432926642969414
"386","miR-1950",0.172899015,0.1029708,0.1379349075,0.0494467150227708
"451","miR-503-3p",0.172437767,0.1029708,0.1377042835,0.0491205634341621
"43","miR-362-3p",0.103921163,0.169736686,0.1368289245,0.0465386026206392
"605","miR-3093-5p",0.169484018,0.1029708,0.136227409,0.0470319474863391
"679","miR-717",0.155418478,0.116830467,0.1361244725,0.0272858442506011
"807","miR-3112-5p",0.168970302,0.102518428,0.135744365,0.046988570727954
"123","miR-133b-3p",0.105763619,0.164309259,0.135036439,0.0413980190529064
"439","miR-450b-5p",0.166776147,0.1029708,0.1348734735,0.0451171935396607
"599","miR-3058-3p",0.166693388,0.1029708,0.134832094,0.0450586740895565
"767","miR-19b-1-5p",0.166812605,0.102518428,0.1346655165,0.0454628485475082
"883","miR-1249-5p",0.10126004,0.167059632,0.134159836,0.0465273377025081
"738","miR-653-3p",0.10126004,0.166635282,0.133947661,0.0462272769399116
"396","miR-20b-3p",0.16487201,0.1029708,0.133921405,0.0437707653546525
"44","miR-434-5p",0.122856462,0.143296679,0.1330765705,0.0144534160496246
"522","miR-3063-5p",0.162219712,0.103544584,0.132882148,0.0414895808957887
"593","miR-1955-3p",0.160637641,0.1029708,0.1318042205,0.0407766143207064
"528","miR-1945",0.160366966,0.1029708,0.131668883,0.0405852181927088
"595","miR-302d-5p",0.157289072,0.1029708,0.130129936,0.0384088184735354
"440","miR-455-5p",0.157045894,0.1029708,0.130008347,0.0382368656607
"497","miR-322-3p",0.130485768,0.129328888,0.129907328,0.000818037693019092
"545","miR-490-3p",0.15559649,0.1029708,0.129283645,0.0372119822636211
"533","miR-495-5p",0.147870099,0.110421562,0.1291458305,0.0264801144582153
"556","miR-764-5p",0.103440724,0.154737833,0.1290892785,0.0362725336291655
"383","miR-1947-5p",0.154869924,0.1029708,0.128920362,0.0366982225180415
"517","miR-3087-3p",0.132034998,0.123808976,0.127921987,0.00581667593838972
"412","miR-299a-5p",0.100702167,0.154051732,0.1273769495,0.0377238391848525
"414","miR-29c-5p",0.148363181,0.106252799,0.12730799,0.0297765366705559
"635","miR-344d-2-5p",0.118760398,0.133846622,0.12630351,0.0106675712928992
"109","miR-331-3p",0.103035633,0.149447941,0.126241787,0.0328184577173187
"539","miR-219a-2-3p",0.149284393,0.1029708,0.1261275965,0.0327486556714138
"632","miR-494-5p",0.148339326,0.1029708,0.125655063,0.0320803923870382
"798","miR-383-3p",0.10126004,0.149445713,0.1253528765,0.0340724161343375
"378","miR-1928",0.100702167,0.149483879,0.125093023,0.0344938793530892
"668","miR-344d-3-5p",0.145336481,0.1029708,0.1241536405,0.0299570603246861
"598","miR-302a-3p",0.144010237,0.1029708,0.1234905185,0.0290192641987781
"592","miR-760-3p",0.142617809,0.1029708,0.1227943045,0.0280346689176641
"329","miR-124-5p",0.141814837,0.101291377,0.121553107,0.0286544133631418
"810","miR-129-1-3p",0.14055858,0.102518428,0.121538504,0.026898449436567
"503","miR-500-5p",0.136546891,0.1029708,0.1197588455,0.0237418816318366
"703","miR-122-3p",0.135863527,0.1029708,0.1194171635,0.0232586703134178
"73","miR-330-5p",0.101923377,0.136694381,0.119308879,0.0245868127170646
"640","miR-468-3p",0.134335836,0.1029708,0.118653318,0.0221784296477602
"27","miR-326-3p",0.10485263,0.132372457,0.1186125435,0.0194594562887806
"426","miR-339-3p",0.100702167,0.135648082,0.1181751245,0.0247104934712687
"500","miR-3062-3p",0.100702167,0.135423966,0.1180630665,0.0245520195278963
"48","miR-672-5p",0.101725117,0.133362842,0.1175439795,0.0223712498888152
"563","miR-3066-5p",0.132097212,0.1029708,0.117534006,0.0205954834368332
"112","miR-302d-3p",0.123400316,0.107932194,0.115666255,0.0109376139584208
"691","miR-10a-3p",0.126998043,0.1029708,0.1149844215,0.016989826458517
"367","miR-1899",0.104898443,0.124980226,0.1149393345,0.0141999649376167
"181","miR-302a-5p",0.128075258,0.100555615,0.1143154365,0.0194593261811329
"895","miR-467g",0.10126004,0.126542984,0.113901512,0.0178777411507597
"372","miR-1902",0.123091733,0.1029708,0.1130312665,0.0142276481681002
"413","miR-29a-5p",0.101851584,0.123220807,0.1125361955,0.0151103224919875
"13","miR-34b-5p",0.116402564,0.107932194,0.112167379,0.0059894560661591
"610","miR-3097-3p",0.100702167,0.122924864,0.1118135155,0.0157138197449539
"744","miR-873a-3p",0.101772213,0.121231859,0.111502036,0.0137600476460897
"311","miR-465a-5p",0.111383065,0.107932194,0.1096576295,0.00244013428510001
"193","miR-154-3p",0.107068724,0.110210145,0.1086394345,0.00222132009166182
"603","miR-3091-3p",0.100702167,0.115801789,0.108251978,0.0106770451095536
"815","miR-3071-3p",0.100553207,0.115666026,0.1081096165,0.0106863767977449
"297","miR-127-5p",0.101725117,0.114366956,0.1080460365,0.00893913008356856
"429","miR-374b-3p",0.112065699,0.1029708,0.1075182495,0.00643106475710675
"5","miR-199a-5p",0.105579577,0.108696015,0.107137796,0.00220365444294745
"143","miR-883a-5p",0.112993775,0.100779427,0.106886601,0.00863684829857234
"204","miR-133a-3p",0.105264098,0.107932194,0.106598146,0.0018866287744567
"616","miR-206-5p",0.100371731,0.112062408,0.1062170695,0.0082665569833616
"678","miR-487b-5p",0.102494599,0.10930317,0.1058988845,0.00481438672429007
"158","miR-409-3p",0.103533802,0.107932194,0.105732998,0.00311013280951666
"100","miR-875-3p",0.101725117,0.109118799,0.105421958,0.00522812268013691
"23","miR-331-5p",0.102307417,0.107932194,0.1051198055,0.00397731795936212
"4","miR-9-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"6","miR-369-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"9","miR-292a-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"14","miR-470-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"15","miR-184-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"16","miR-193b-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"18","miR-483-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"21","miR-215-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"24","miR-200b-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"32","miR-376c-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"34","miR-138-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"35","miR-346-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"38","miR-345-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"39","miR-290a-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"41","miR-134-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"42","miR-216b-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"49","miR-382-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"52","miR-688",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"53","miR-122-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"54","miR-710",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"56","miR-880-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"57","miR-485-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"59","miR-489-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"61","miR-196b-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"62","miR-137-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"63","miR-377-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"64","miR-654-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"74","miR-495-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"79","miR-582-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"82","miR-34b-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"86","miR-721",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"87","miR-504-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"94","miR-290a-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"102","miR-302c-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"104","miR-882",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"110","miR-34c-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"118","miR-295-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"122","miR-876-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"125","miR-883a-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"126","miR-883b-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"128","miR-883b-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"133","miR-144-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"135","miR-719",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"136","miR-759",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"140","miR-875-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"142","miR-509-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"145","miR-201-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"155","miR-409-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"159","miR-876-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"162","miR-381-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"172","miR-291b-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"174","miR-675-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"177","miR-878-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"179","miR-802-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"186","miR-376b-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"190","miR-380-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"197","miR-881-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"199","miR-654-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"209","miR-217-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"218","miR-135b-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"220","miR-711",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"228","miR-208b-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"229","miR-135a-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"230","miR-707",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"235","miR-384-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"242","miR-758-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"246","miR-337-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"257","miR-338-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"268","miR-337-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"278","miR-153-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"279","miR-96-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"282","miR-653-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"286","miR-743b-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"300","miR-202-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"302","miR-193a-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"304","miR-547-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"309","miR-582-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"324","miR-743a-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"337","miR-10b-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"342","miR-1192",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"346","miR-133a-5p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"349","miR-145a-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"350","miR-146b-3p",0.101725117,0.107932194,0.1048286555,0.00438906623804705
"722","miR-152-5p",0.100702167,0.10784654,0.1042743535,0.00505183459562608
"434","miR-382-3p",0.105366174,0.1029708,0.104168487,0.00169378519887795
"524","miR-496a-5p",0.101591729,0.105617093,0.103604411,0.0028463621811442
"91","miR-294-5p",0.103930862,0.102890919,0.1034108905,0.000735350747347483
"834","miR-212-3p",0.100981233,0.105803465,0.103392349,0.00340983294765476
"516","miR-3100-3p",0.103421736,0.1029708,0.103196268,0.000318859903481136
"416","miR-302b-5p",0.103342031,0.1029708,0.1031564155,0.000262499957486663
"641","miR-190a-3p",0.102940968,0.1029708,0.102955884,2.10944094963623e-05
"634","miR-410-5p",0.100702167,0.104420078,0.1025611225,0.00262896007994806
"463","miR-669j",0.102071795,0.1029708,0.1025212975,0.000635692531820608
"415","miR-300-5p",0.101890445,0.1029708,0.1024306225,0.000763926346588796
"527","miR-3085-5p",0.101501626,0.1029708,0.102236213,0.00103886289814297
"856","let-7a-2-3p",0.10126004,0.102841262,0.102050651,0.00111809279876136
"736","miR-1929-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"739","miR-3110-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"741","miR-1930-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"742","miR-3080-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"745","miR-379-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"748","miR-34a-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"749","miR-143-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"750","miR-3070-2-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"751","miR-1251-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"752","miR-3059-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"754","miR-1948-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"757","miR-3065-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"758","miR-1952",0.10126004,0.102518428,0.101889234,0.000889814688163777
"761","miR-3082-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"762","miR-3108-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"763","miR-182-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"764","miR-3079-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"769","miR-701-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"770","miR-1264-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"771","miR-652-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"773","miR-1a-2-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"774","miR-132-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"775","miR-3072-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"777","miR-1197-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"783","miR-3093-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"785","miR-3083-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"786","miR-1298-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"787","miR-490-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"788","miR-450a-1-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"790","miR-101b-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"795","miR-92a-2-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"796","miR-667-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"800","miR-3057-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"803","miR-1955-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"804","miR-134-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"806","miR-431-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"808","miR-379-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"813","miR-7b-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"814","miR-153-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"819","miR-3475-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"820","miR-3075-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"822","miR-344e-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"824","miR-208a-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"825","let-7e-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"826","miR-367-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"830","miR-320-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"836","miR-874-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"839","miR-3104-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"842","miR-381-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"844","miR-138-1-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"845","miR-3060-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"846","miR-3088-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"847","miR-1a-1-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"851","miR-367-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"858","miR-871-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"859","miR-222-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"861","miR-540-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"862","miR-452-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"863","miR-3101-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"869","miR-1964-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"870","miR-344c-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"872","miR-129-2-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"873","miR-3092-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"876","miR-449a-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"878","miR-1933-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"880","miR-3079-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"888","miR-1298-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"892","miR-499-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"896","miR-668-3p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"897","miR-1941-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
"900","miR-147-5p",0.10126004,0.102518428,0.101889234,0.000889814688163777
